Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2022-102566,10/15/2022,10/17/2022,Standard Class,CU-10099,Client CU-10390,Home Office,United States,Missouri,Missouri,43371,Central,TEC-MA-1000,Technology,Machines,Premium Label Printer,452.8,1,0.4,-53.18
2,US-2022-100826,11/27/2020,11/28/2020,Standard Class,CU-10591,Client CU-10052,Home Office,United States,Ohio,Ohio,97361,Central,OFF-LA-1001,Office Supplies,Labels,Deluxe Label Set,278.8,5,0.0,48.1
3,US-2022-102054,03/04/2020,03/08/2020,Standard Class,CU-10254,Client CU-10059,Consumer,United States,Wisconsin,Wisconsin,52259,Central,OFF-PA-1002,Office Supplies,Paper,Deluxe Copy Paper Ream,101.42,2,0.1,12.07
4,US-2023-103839,09/04/2022,09/10/2022,First Class,CU-10649,Client CU-10656,Consumer,United States,Arizona,Arizona,44872,West,OFF-ST-1003,Office Supplies,Storage,Compact Storage Box,192.57,4,0.15,50.35
5,US-2022-102778,01/11/2020,01/16/2020,Standard Class,CU-10357,Client CU-10029,Consumer,United States,Missouri,Missouri,22581,Central,FUR-CH-1004,Furniture,Chairs,Classic Office Chair,2160.33,7,0.1,285.27
6,US-2022-103014,01/21/2023,01/25/2023,Standard Class,CU-10024,Client CU-10766,Consumer,United States,Missouri,Missouri,29312,Central,OFF-ST-1005,Office Supplies,Storage,Premium Storage Box,266.92,6,0.0,79.81
7,US-2020-104980,02/14/2021,02/20/2021,Standard Class,CU-10518,Client CU-10326,Consumer,United States,Florida,Florida,83261,South,FUR-CH-1006,Furniture,Chairs,Classic Office Chair,812.05,3,0.1,165.48
8,US-2022-102478,11/05/2021,11/10/2021,Standard Class,CU-10348,Client CU-10186,Corporate,United States,California,California,37135,West,OFF-BI-1007,Office Supplies,Binders,Pro Ring Binder,54.79,2,0.0,13.53
9,US-2021-101317,11/05/2023,11/08/2023,Second Class,CU-10607,Client CU-10615,Consumer,United States,Maryland,Maryland,50442,East,FUR-CH-1008,Furniture,Chairs,Executive Office Chair,1568.99,8,0.1,588.19
10,US-2021-100097,10/22/2020,10/27/2020,Second Class,CU-10591,Client CU-10517,Corporate,United States,Nevada,Nevada,48887,West,OFF-FA-1009,Office Supplies,Fasteners,Pro Stapler,85.27,3,0.0,-3.15
11,US-2020-103388,08/30/2021,09/04/2021,Standard Class,CU-10080,Client CU-10618,Home Office,United States,New York,New York,25353,East,FUR-BO-1010,Furniture,Bookcases,Classic Bookcase,219.08,1,0.0,51.16
12,US-2023-101379,02/03/2020,02/04/2020,Standard Class,CU-10379,Client CU-10344,Corporate,United States,New Jersey,New Jersey,94403,East,OFF-ST-1011,Office Supplies,Storage,Executive Storage Box,431.0,8,0.0,131.76
13,US-2022-102714,01/30/2022,02/05/2022,Standard Class,CU-10109,Client CU-10246,Corporate,United States,Virginia,Virginia,19771,East,OFF-PA-1012,Office Supplies,Paper,Compact Copy Paper Ream,222.82,4,0.0,45.36
14,US-2022-100706,01/27/2023,01/29/2023,Standard Class,CU-10432,Client CU-10241,Home Office,United States,Washington,Washington,84680,West,OFF-AR-1013,Office Supplies,Art,Ultra Desk Organizer,28.83,1,0.2,1.02
15,US-2021-101493,01/21/2022,01/27/2022,Same Day,CU-10339,Client CU-10118,Corporate,United States,Washington,Washington,90250,West,OFF-FA-1014,Office Supplies,Fasteners,Compact Stapler,76.2,3,0.3,-10.53
16,US-2023-103683,04/06/2021,04/07/2021,Standard Class,CU-10582,Client CU-10004,Consumer,United States,Georgia,Georgia,94312,South,OFF-FA-1015,Office Supplies,Fasteners,Deluxe Stapler,249.15,7,0.1,60.87
17,US-2022-104990,09/18/2020,09/21/2020,Same Day,CU-10606,Client CU-10389,Consumer,United States,California,California,55066,West,FUR-FU-1016,Furniture,Furnishings,Pro Desk Lamp,864.14,5,0.2,39.57
18,US-2021-102085,09/16/2022,09/22/2022,First Class,CU-10155,Client CU-10019,Corporate,United States,Washington,Washington,74385,West,FUR-CH-1017,Furniture,Chairs,Premium Office Chair,315.29,1,0.0,-0.89
19,US-2021-102605,08/03/2021,08/09/2021,First Class,CU-10223,Client CU-10389,Corporate,United States,Nevada,Nevada,12237,West,TEC-PH-1018,Technology,Phones,Premium Smartphone,1423.35,3,0.0,541.74
20,US-2020-102160,09/03/2021,09/04/2021,Second Class,CU-10364,Client CU-10660,Consumer,United States,Wisconsin,Wisconsin,11605,Central,FUR-CH-1019,Furniture,Chairs,Pro Office Chair,3026.55,8,0.0,414.31
21,US-2022-100594,02/13/2022,02/18/2022,Standard Class,CU-10291,Client CU-10088,Home Office,United States,Illinois,Illinois,68673,Central,OFF-LA-1020,Office Supplies,Labels,Executive Label Set,217.75,5,0.2,21.9
22,US-2021-101789,12/25/2022,12/31/2022,First Class,CU-10114,Client CU-10248,Consumer,United States,Massachusetts,Massachusetts,37929,East,OFF-PA-1021,Office Supplies,Paper,Ultra Copy Paper Ream,166.57,7,0.0,20.78
23,US-2022-104154,08/12/2020,08/15/2020,Standard Class,CU-10041,Client CU-10402,Consumer,United States,Tennessee,Tennessee,71263,South,OFF-BI-1022,Office Supplies,Binders,Compact Ring Binder,23.33,1,0.0,5.01
24,US-2020-103212,05/27/2023,05/31/2023,Standard Class,CU-10445,Client CU-10220,Consumer,United States,Utah,Utah,14432,West,TEC-AC-1023,Technology,Accessories,Classic Wireless Mouse,300.59,1,0.0,148.48
25,US-2023-101199,03/16/2020,03/19/2020,First Class,CU-10764,Client CU-10451,Corporate,United States,Maryland,Maryland,80152,East,TEC-PH-1024,Technology,Phones,Premium Smartphone,4385.43,8,0.0,1088.3
26,US-2020-101248,01/20/2022,01/26/2022,Standard Class,CU-10207,Client CU-10338,Consumer,United States,Wisconsin,Wisconsin,53008,Central,OFF-BI-1025,Office Supplies,Binders,Executive Ring Binder,260.22,7,0.0,53.73
27,US-2022-103354,04/23/2021,04/26/2021,Standard Class,CU-10714,Client CU-10600,Corporate,United States,Oregon,Oregon,39552,West,OFF-ST-1026,Office Supplies,Storage,Pro Storage Box,129.86,4,0.1,48.7
28,US-2023-102987,02/16/2022,02/21/2022,First Class,CU-10541,Client CU-10716,Corporate,United States,North Carolina,North Carolina,21889,South,TEC-AC-1027,Technology,Accessories,Compact Wireless Mouse,3023.02,6,0.0,9.84
29,US-2021-102225,09/28/2023,10/03/2023,Second Class,CU-10610,Client CU-10726,Consumer,United States,Arizona,Arizona,95141,West,FUR-BO-1028,Furniture,Bookcases,Compact Bookcase,625.05,2,0.3,97.94
30,US-2022-103638,09/07/2020,09/08/2020,Second Class,CU-10595,Client CU-10403,Corporate,United States,New York,New York,54293,East,OFF-BI-1029,Office Supplies,Binders,Standard Ring Binder,202.86,5,0.0,45.78
31,US-2020-103652,05/08/2020,05/11/2020,First Class,CU-10260,Client CU-10637,Consumer,United States,Louisiana,Louisiana,78627,South,FUR-CH-1030,Furniture,Chairs,Pro Office Chair,2018.53,6,0.0,609.73
32,US-2023-100879,08/03/2020,08/04/2020,First Class,CU-10431,Client CU-10281,Consumer,United States,Massachusetts,Massachusetts,80226,East,FUR-TA-1031,Furniture,Tables,Ultra Meeting Table,1865.57,8,0.0,750.37
33,US-2022-102390,10/20/2023,10/23/2023,Second Class,CU-10458,Client CU-10424,Consumer,United States,Massachusetts,Massachusetts,11107,East,OFF-FA-1032,Office Supplies,Fasteners,Classic Stapler,44.89,1,0.2,-5.41
34,US-2022-101954,10/07/2021,10/08/2021,First Class,CU-10777,Client CU-10533,Home Office,United States,Michigan,Michigan,35551,Central,OFF-PA-1033,Office Supplies,Paper,Executive Copy Paper Ream,151.76,3,0.2,-4.84
35,US-2022-102266,08/07/2022,08/11/2022,Second Class,CU-10111,Client CU-10630,Home Office,United States,Arizona,Arizona,27838,West,OFF-FA-1034,Office Supplies,Fasteners,Standard Stapler,20.88,1,0.2,1.55
36,US-2020-101224,03/16/2020,03/21/2020,First Class,CU-10044,Client CU-10755,Corporate,United States,Minnesota,Minnesota,93500,Central,FUR-CH-1035,Furniture,Chairs,Standard Office Chair,931.02,5,0.15,-158.31
37,US-2022-100430,10/21/2020,10/22/2020,Standard Class,CU-10663,Client CU-10634,Consumer,United States,Wisconsin,Wisconsin,76115,Central,FUR-FU-1036,Furniture,Furnishings,Deluxe Desk Lamp,328.73,1,0.0,63.71
38,US-2022-102294,06/11/2022,06/15/2022,Standard Class,CU-10553,Client CU-10289,Consumer,United States,California,California,18254,West,TEC-AC-1037,Technology,Accessories,Pro Wireless Mouse,214.64,1,0.1,34.41
39,US-2023-102091,07/18/2022,07/24/2022,Second Class,CU-10450,Client CU-10200,Home Office,United States,Tennessee,Tennessee,68430,South,TEC-MA-1038,Technology,Machines,Executive Label Printer,2949.89,5,0.0,379.3
40,US-2021-103073,11/23/2021,11/24/2021,Second Class,CU-10333,Client CU-10312,Consumer,United States,Nevada,Nevada,67115,West,OFF-AR-1039,Office Supplies,Art,Ultra Desk Organizer,32.68,1,0.0,11.16
